Branch Name,Company Name,SAP_CODE,Company Type,Brand,Part No,Part Description,Part Type,ASC_GOOD_STOCK,ASC_DEFECTIVE_STOCK,Engg Good Stock,Engg Defective Stock,Total Fresh Stock,Total Defective Stock,DAMAGE STOCK
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62195,RUBBER LEGS RY/GTJ/P/A/I/SUP/MP/ATPL/EFI,PART,0,0,12,0,12,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62210,DIAL PLATE TRAD GAS STOVE-ALL MODELS,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62548,DRIP TRAY-SML GT/GTM/GTS/GTJ/GTP/GTA/GTI,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62625,CONTROL PANEL PRC/SRC,PART,0,0,1,0,1,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62671,PCB ASSEMBLY PFL,PART,0,0,1,0,1,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62969,KEEP WARM COVER PRWC 1.8,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62976,TRIVET PRWC/S 1.8/PRWO 1.8/CUTE 1.8,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62980,POWER CORD PRWC/ALL MO//JRC 02/SMRT/NEW,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62987,FUSE ALL RCK/JRC 02/SMRT/PRWO/CUTE SS,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62994,SOCKET ALL RCK/JRC 02/SMRT/CUTE,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62997,MAGNETIC THERMOSTAT ALL RCK/JR/SMRT/CUTE,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63014,BURNER SMALL JWALA/GTMP 02/03/SS,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63015,BURNER BIG JWALA/GTMP 02/03/SS,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63024,PAN SUPPORT GT 02/03/04,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63038,GAS VALVE30DEG RHSW/O THREAD/EFI,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63039,GAS VALVE30DEG WITH THREAD,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63044,GLASS FOR GT 02,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63046,GLASS FOR GT 04,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63102,SOLE PLATE PDI 01/02,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63109,HEAT INSULATION PLATE PDI 02,PART,0,0,1,0,1,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63110,THERMOSTAT WITH FUSE PDI 02/CRU/SPRK/MAG,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63285,ROLLER STONE SET WG T,PART,0,0,1,0,1,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63286,SUB ASSLY WITH OUT ROLLER STONE WG T,PART,0,0,1,0,1,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63289,ON/OFF SWITCH WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63296,MOTOR WG T/02/03/04/11,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63298,CAPACITOR WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63299,BELT WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63300,MOTOR PULLEY WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63301,BIG PULLEY,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63304,NYLON SPROKET WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63305,MOTOR FAN WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63306,CENTRE SHAFT WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63307,BEARING SET WG T,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,63313,DRIPT TRAY GASKET GT/M/J/P/A/I/SU/MP/AP,PART,0,0,0,0,0,0,0
